scalerank	featurecla	labelrank	sovereignt	sov_a3	adm0_dif	level	type	admin	adm0_a3	geou_dif	geounit	gu_a3	su_dif	subunit	su_a3	brk_diff	name	name_long	brk_a3	brk_name	brk_group	abbrev	postal	formal_en	formal_fr	note_adm0	note_brk	name_sort	name_alt	mapcolor7	mapcolor8	mapcolor9	mapcolor13	pop_est	gdp_md_est	pop_year	lastcensus	gdp_year	economy	income_grp	wikipedia	fips_10	iso_a2	iso_a3	iso_n3	un_a3	wb_a2	wb_a3	woe_id	adm0_a3_is	adm0_a3_us	adm0_a3_un	adm0_a3_wb	continent	region_un	subregion	region_wb	name_len	long_len	abbrev_len	tiny	homepart	eleven	twelwe	thirteen	fourteen	fifteen	sixteen	seventeen	eighteen
1	Admin-0 country	3	Ivory Coast	CIV	0	2	Sovereign country	Ivory Coast	CIV	0	Ivory Coast	CIV	0	Ivory Coast	CIV	0	Côte d'Ivoire	Côte d'Ivoire	CIV	Côte d'Ivoire		I.C.	CI	Republic of Ivory Coast	Republic of Cote D'Ivoire			Côte d'Ivoire		4	6	3	3	20617068	33850	-99	1998	-99	6. Developing region	4. Lower middle income	-99		CI	CIV	384	384	CI	CIV	-99	CIV	CIV	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	13	13	4	-99	1	25381616734	26790579775	31264187110	35316491206	33131114321	35296977343	38053606750	43007047821
1	Admin-0 country	3	Cameroon	CMR	0	2	Sovereign country	Cameroon	CMR	0	Cameroon	CMR	0	Cameroon	CMR	0	Cameroon	Cameroon	CMR	Cameroon		Cam.	CM	Republic of Cameroon				Cameroon		1	4	1	3	18879301	42750	-99	2005	-99	6. Developing region	4. Lower middle income	-99		CM	CMR	120	120	CM	CMR	-99	CMR	CMR	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	8	8	4	-99	1	29337006833	29104437355	32348149947	34942948737	30916218544	32621535418	34922782310	38675205293
1	Admin-0 country	2	Democratic Republic of the Congo	COD	0	2	Sovereign country	Democratic Republic of the Congo	COD	0	Democratic Republic of the Congo	COD	0	Democratic Republic of the Congo	COD	0	Dem. Rep. Congo	Democratic Republic of the Congo	COD	Democratic Republic of the Congo		D.R.C.	DRC	Democratic Republic of the Congo				Congo, Dem. Rep.		4	4	4	7	68692542	20640	-99	1984	-99	7. Least developed region	5. Low income	-99		CD	COD	180	180	ZR	ZAR	-99	COD	COD	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	15	32	6	-99	1	25839749198	29306235826	32679745297	35909040265	37917704900	37134799974	38019265625	47227535290
1	Admin-0 country	4	Republic of Congo	COG	0	2	Sovereign country	Republic of Congo	COG	0	Republic of Congo	COG	0	Republic of Congo	COG	0	Congo	Republic of Congo	COG	Republic of Congo		Rep. Congo	CG	Republic of Congo				Congo, Rep.		2	1	3	10	4012809	15350	-99	2007	-99	6. Developing region	4. Lower middle income	-99		CG	COG	178	178	CG	COG	-99	COG	COG	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	5	17	10	-99	1	14425607179	13677930123	14085851348	14177437982	8553154580	9035848070	8701334800	11263682694
3	Admin-0 country	4	New Zealand	NZ1	1	2	Dependency	Cook Islands	COK	0	Cook Islands	COK	0	Cook Islands	COK	0	Cook Is.	Cook Islands	COK	Cook Is.		Cook Is.	CK			Assoc. with N.Z.		Cook Islands		3	3	4	4	11870	183.2	-99	-99	-99	6. Developing region	3. Upper middle income	-99		CK	COK	184	184	-99	-99	-99	COK	COK	-99	-99	Oceania	Oceania	Polynesia	East Asia & Pacific	8	12	8	3	-99	0	0	0	0	0	0	0	0
1	Admin-0 country	2	Colombia	COL	0	2	Sovereign country	Colombia	COL	0	Colombia	COL	0	Colombia	COL	0	Colombia	Colombia	COL	Colombia		Col.	CO	Republic of Colombia				Colombia		2	1	3	1	45644023	395400	-99	2006	-99	6. Developing region	3. Upper middle income	-99		CO	COL	170	170	CO	COL	-99	COL	COL	-99	-99	South America	Americas	South America	Latin America & Caribbean	8	8	4	-99	1	3,34454E+11	3,70574E+11	3,81867E+11	3,81112E+11	2,93E+11	2,83E+11	3,12E+11	3,31E+11
1	Admin-0 country	6	Comoros	COM	0	2	Sovereign country	Comoros	COM	0	Comoros	COM	0	Comoros	COM	0	Comoros	Comoros	COM	Comoros		Com.	KM	Union of the Comoros				Comoros		2	1	4	10	752438	751.2	-99	2003	-99	7. Least developed region	5. Low income	-99		KM	COM	174	174	KM	COM	-99	COM	COM	-99	-99	Africa	Africa	Eastern Africa	Sub-Saharan Africa	7	7	4	2	1	1021746833	1015901205	1115906341	1148058015	965640593	1012147323	1074778460	1177955048
1	Admin-0 country	4	Cape Verde	CPV	0	2	Sovereign country	Cape Verde	CPV	0	Cape Verde	CPV	0	Cape Verde	CPV	0	Cape Verde	Cape Verde	CPV	Cape Verde		C.Vd.	CV	Republic of Cape Verde				Cape Verde		1	1	4	11	429474	1626	-99	2010	-99	6. Developing region	4. Lower middle income	-99		CV	CPV	132	132	CV	CPV	-99	CPV	CPV	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	10	10	5	-99	1	1865915544	1741809808	1850470042	1859898513	1596800287	1663008687	1769787215	1976814276
1	Admin-0 country	5	Costa Rica	CRI	0	2	Sovereign country	Costa Rica	CRI	0	Costa Rica	CRI	0	Costa Rica	CRI	0	Costa Rica	Costa Rica	CRI	Costa Rica		C.R.	CR	Republic of Costa Rica				Costa Rica		3	2	4	2	4253877	48320	-99	2011	-99	5. Emerging region: G20	3. Upper middle income	-99		CR	CRI	188	188	CR	CRI	-99	CRI	CRI	-99	-99	North America	Americas	Central America	Latin America & Caribbean	10	10	4	-99	1	42262697840	46473128285	49745088111	50577769837	54775994478	57157992434	58174549218	60130106115
1	Admin-0 country	3	Cuba	CUB	0	2	Sovereign country	Cuba	CUB	0	Cuba	CUB	0	Cuba	CUB	0	Cuba	Cuba	CUB	Cuba		Cuba	CU	Republic of Cuba				Cuba		3	5	3	4	11451652	108200	-99	2002	-99	5. Emerging region: G20	3. Upper middle income	-99		CU	CUB	192	192	CU	CUB	-99	CUB	CUB	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	4	4	4	-99	1	68990000000	73141000000	77148000000	80656000000	87133000000	91370000000	96851000000	1E+11
3	Admin-0 country	5	Netherlands	NL1	1	2	Country	Curaçao	CUW	0	Curaçao	CUW	0	Curaçao	CUW	0	Curaçao	Curaçao	CUW	Curaçao		Cur.	CW	Curaçao		Neth.		Curaçao		4	2	2	9	141766	2838	-99	-99	-99	6. Developing region	2. High income: nonOECD	-99		CW	CUW	531	531	CW	CUW	-99	CUW	CUW	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	7	7	4	4	-99	3038699608	3131096089	3147616201	3158406033	3151910782	3122287932	3116610111	3127908037
1	Admin-0 country	5	United Kingdom	GB1	1	2	Dependency	Cayman Islands	CYM	0	Cayman Islands	CYM	0	Cayman Islands	CYM	0	Cayman Is.	Cayman Islands	CYM	Cayman Is.		Cym. Is.	KY	Cayman Islands		U.K.		Cayman Islands		6	6	6	3	49035	1939	-99	2010	-99	5. Emerging region: G20	2. High income: nonOECD	-99		KY	CYM	136	136	KY	CYM	-99	CYM	CYM	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	10	14	8	2	-99	4186223808	4291159006	4405954638	4563017880	4708336733	4898908676	5141833913	0
1	Admin-0 country	5	Cyprus	CYP	0	2	Sovereign country	Cyprus	CYP	0	Cyprus	CYP	0	Cyprus	CYP	0	Cyprus	Cyprus	CYP	Cyprus		Cyp.	CY	Republic of Cyprus				Cyprus		1	2	3	7	531640	22700	-99	2001	-99	6. Developing region	2. High income: nonOECD	-99		CY	CYP	196	196	CY	CYP	-99	CYP	CYP	-99	-99	Asia	Asia	Western Asia	Europe & Central Asia	6	6	4	-99	1	27565469097	24978513426	23900872625	23128114786	19779150116	20890936462	22638608224	24961988663
1	Admin-0 country	5	Czech Republic	CZE	0	2	Sovereign country	Czech Republic	CZE	0	Czech Republic	CZE	0	Czech Republic	CZE	0	Czech Rep.	Czech Republic	CZE	Czech Rep.		Cz. Rep.	CZ	Czech Republic				Czech Republic		1	1	2	6	10211904	265200	-99	2011	-99	2. Developed region: nonG7	1. High income: OECD	-99		CZ	CZE	203	203	CZ	CZE	-99	CZE	CZE	-99	-99	Europe	Europe	Eastern Europe	Europe & Central Asia	10	14	8	-99	1	2,27948E+11	2,07376E+11	2,09402E+11	2,07818E+11	1,87E+11	1,95E+11	2,16E+11	2,45E+11
1	Admin-0 country	2	Germany	DEU	0	2	Sovereign country	Germany	DEU	0	Germany	DEU	0	Germany	DEU	0	Germany	Germany	DEU	Germany		Ger.	D	Federal Republic of Germany				Germany		2	5	5	1	82329758	2918000	-99	2011	-99	1. Developed region: G7	1. High income: OECD	-99		DE	DEU	276	276	DE	DEU	-99	DEU	DEU	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	7	7	4	-99	1	3,74441E+12	3,52734E+12	3,73274E+12	3,88392E+12	3,36E+12	3,47E+12	3,66E+12	3,95E+12
1	Admin-0 country	5	Djibouti	DJI	0	2	Sovereign country	Djibouti	DJI	0	Djibouti	DJI	0	Djibouti	DJI	0	Djibouti	Djibouti	DJI	Djibouti		Dji.	DJ	Republic of Djibouti				Djibouti		1	2	4	8	516055	1885	-99	2009	-99	7. Least developed region	4. Lower middle income	-99		DJ	DJI	262	262	DJ	DJI	-99	DJI	DJI	-99	-99	Africa	Africa	Eastern Africa	Middle East & North Africa	8	8	4	-99	1	1239144501	1353632941	2042817162	2216200810	2445484583	2618587757	2766868072	2955912228
1	Admin-0 country	6	Dominica	DMA	0	2	Sovereign country	Dominica	DMA	0	Dominica	DMA	0	Dominica	DMA	0	Dominica	Dominica	DMA	Dominica		D'inca	DM	Commonwealth of Dominica				Dominica		4	5	2	12	72660	719.6	-99	2011	-99	6. Developing region	3. Upper middle income	-99		DM	DMA	212	212	DM	DMA	-99	DMA	DMA	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	8	8	6	4	1	501025296	485998000	498296296	520207407	540737037	576229629	519837037	550892592
1	Admin-0 country	4	Denmark	DN1	1	2	Country	Denmark	DNK	0	Denmark	DNK	0	Denmark	DNK	0	Denmark	Denmark	DNK	Denmark		Den.	DK	Kingdom of Denmark				Denmark		4	1	3	12	5500510	203600	-99	2011	-99	2. Developed region: nonG7	1. High income: OECD	-99		DK	DNK	208	208	DK	DNK	-99	DNK	DNK	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	7	7	4	-99	1	3,44003E+11	3,27149E+11	3,43584E+11	3,52994E+11	3,03E+11	3,13E+11	3,29E+11	3,56E+11
1	Admin-0 country	5	Dominican Republic	DOM	0	2	Sovereign country	Dominican Republic	DOM	0	Dominican Republic	DOM	0	Dominican Republic	DOM	0	Dominican Rep.	Dominican Republic	DOM	Dominican Rep.		Dom. Rep.	DO	Dominican Republic				Dominican Republic		5	2	5	7	9650054	78000	-99	2010	-99	6. Developing region	3. Upper middle income	-99		DO	DOM	214	214	DO	DOM	-99	DOM	DOM	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	14	18	9	-99	1	58029773801	60681535893	62682158700	67179956264	71164826720	75704647977	79998045976	85555390387
1	Admin-0 country	3	Algeria	DZA	0	2	Sovereign country	Algeria	DZA	0	Algeria	DZA	0	Algeria	DZA	0	Algeria	Algeria	DZA	Algeria		Alg.	DZ	People's Democratic Republic of Algeria				Algeria		5	1	6	3	34178188	232900	-99	2008	-99	6. Developing region	3. Upper middle income	-99		DZ	DZA	12	12	DZ	DZA	-99	DZA	DZA	-99	-99	Africa	Africa	Northern Africa	Middle East & North Africa	7	7	4	-99	1	2,00015E+11	2,09063E+11	2,09755E+11	2,13809E+11	1,66E+11	1,6E+11	1,67E+11	1,74E+11
1	Admin-0 country	3	Ecuador	ECU	0	2	Sovereign country	Ecuador	ECU	0	Ecuador	ECU	0	Ecuador	ECU	0	Ecuador	Ecuador	ECU	Ecuador		Ecu.	EC	Republic of Ecuador				Ecuador		1	5	2	12	14573101	107700	-99	2010	-99	6. Developing region	3. Upper middle income	-99		EC	ECU	218	218	EC	ECU	-99	ECU	ECU	-99	-99	South America	Americas	South America	Latin America & Caribbean	7	7	4	-99	1	79276664000	87924544000	95129659000	1,01726E+11	99290381000	99937696000	1,04E+11	1,08E+11
1	Admin-0 country	2	Egypt	EGY	0	2	Sovereign country	Egypt	EGY	0	Egypt	EGY	0	Egypt	EGY	0	Egypt	Egypt	EGY	Egypt		Egypt	EG	Arab Republic of Egypt				Egypt, Arab Rep.		4	6	7	2	83082869	443700	-99	2006	-99	5. Emerging region: G20	4. Lower middle income	-99		EG	EGY	818	818	EG	EGY	-99	EGY	EGY	-99	-99	Africa	Africa	Northern Africa	Middle East & North Africa	5	5	5	-99	1	2,36002E+11	2,79373E+11	2,88586E+11	3,0553E+11	3,33E+11	3,33E+11	2,35E+11	2,51E+11
1	Admin-0 country	4	Eritrea	ERI	0	2	Sovereign country	Eritrea	ERI	0	Eritrea	ERI	0	Eritrea	ERI	0	Eritrea	Eritrea	ERI	Eritrea		Erit.	ER	State of Eritrea				Eritrea		3	1	2	12	5647168	3945	-99	1984	-99	7. Least developed region	5. Low income	-99		ER	ERI	232	232	ER	ERI	-99	ERI	ERI	-99	-99	Africa	Africa	Eastern Africa	Sub-Saharan Africa	7	7	5	-99	1	0	0	0	0	0	0	0	0
1	Admin-0 country	7	Western Sahara	SAH	0	2	Indeterminate	Western Sahara	SAH	0	Western Sahara	SAH	0	Western Sahara	SAH	1	W. Sahara	Western Sahara	B28	W. Sahara		W. Sah.	WS	Sahrawi Arab Democratic Republic		Self admin.	"Self admin.; Claimed by Morocco"	Western Sahara		4	7	4	4	-99	-99	-99	-99	-99	7. Least developed region	5. Low income	-99		EH	ESH	732	732	-99	-99	-99	MAR	SAH	-99	-99	Africa	Africa	Northern Africa	Middle East & North Africa	9	14	7	-99	1	0	0	0	0	0	0	0	0
1	Admin-0 country	2	Spain	ESP	0	2	Sovereign country	Spain	ESP	0	Spain	ESP	0	Spain	ESP	0	Spain	Spain	ESP	Spain		Sp.	E	Kingdom of Spain				Spain		4	5	5	5	40525002	1403000	-99	2001	-99	2. Developed region: nonG7	1. High income: OECD	-99		ES	ESP	724	724	ES	ESP	-99	ESP	ESP	-99	-99	Europe	Europe	Southern Europe	Europe & Central Asia	5	5	3	-99	1	1,47877E+12	1,32482E+12	1,35476E+12	1,3694E+12	1,2E+12	1,23E+12	1,31E+12	1,42E+12
1	Admin-0 country	6	Estonia	EST	0	2	Sovereign country	Estonia	EST	0	Estonia	EST	0	Estonia	EST	0	Estonia	Estonia	EST	Estonia		Est.	EST	Republic of Estonia				Estonia		3	2	1	10	1299371	27410	-99	2000	-99	2. Developed region: nonG7	1. High income: OECD	-99		EE	EST	233	233	EE	EST	-99	EST	EST	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	7	7	4	-99	1	23394843529	23192709238	25271407238	26773472961	23048864242	23996451497	26792757827	30732144528
1	Admin-0 country	2	Ethiopia	ETH	0	2	Sovereign country	Ethiopia	ETH	0	Ethiopia	ETH	0	Ethiopia	ETH	0	Ethiopia	Ethiopia	ETH	Ethiopia		Eth.	ET	Federal Democratic Republic of Ethiopia				Ethiopia		4	4	1	13	85237338	68770	-99	2007	-99	7. Least developed region	5. Low income	-99		ET	ETH	231	231	ET	ETH	-99	ETH	ETH	-99	-99	Africa	Africa	Eastern Africa	Sub-Saharan Africa	8	8	4	-99	1	31952763089	43310721414	47648211133	55612228233	64589334978	74296618481	81760441158	84355604752
1	Admin-0 country	3	Finland	FI1	1	2	Country	Finland	FIN	0	Finland	FIN	0	Finland	FIN	0	Finland	Finland	FIN	Finland		Fin.	FIN	Republic of Finland				Finland		4	1	4	6	5250275	193500	-99	2010	-99	2. Developed region: nonG7	1. High income: OECD	-99		FI	FIN	246	246	FI	FIN	-99	FIN	FIN	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	7	7	4	-99	1	2,75244E+11	2,58305E+11	2,71285E+11	2,74497E+11	2,35E+11	2,41E+11	2,54E+11	2,77E+11
1	Admin-0 country	6	Fiji	FJI	0	2	Sovereign country	Fiji	FJI	0	Fiji	FJI	0	Fiji	FJI	0	Fiji	Fiji	FJI	Fiji		Fiji	FJ	Republic of Fiji				Fiji		5	1	2	2	944720	3579	-99	2007	-99	6. Developing region	4. Lower middle income	-99		FJ	FJI	242	242	FJ	FJI	-99	FJI	FJI	-99	-99	Oceania	Oceania	Melanesia	East Asia & Pacific	4	4	4	-99	1	3774530615	3972012570	4190143206	4856963229	4682546863	4930204219	5353404418	5536759658
1	Admin-0 country	5	United Kingdom	GB1	1	2	Dependency	Falkland Islands	FLK	0	Falkland Islands	FLK	0	Falkland Islands	FLK	1	Falkland Is.	Falkland Islands	B12	Falkland Is.		Flk. Is.	FK	Falkland Islands		U.K.	"Admin. by U.K.; Claimed by Argentina"	Falkland Islands	Islas Malvinas	6	6	6	3	3140	105.1	-99	-99	-99	2. Developed region: nonG7	1. High income: OECD	-99		FK	FLK	238	238	-99	-99	-99	FLK	FLK	-99	-99	South America	Americas	South America	Latin America & Caribbean	12	16	8	-99	-99	0	0	0	0	0	0	0	0
1	Admin-0 country	2	France	FR1	1	2	Country	France	FRA	0	France	FRA	0	France	FRA	0	France	France	FRA	France		Fr.	F	French Republic				France		7	5	9	11	64057792	2128000	-99	-99	-99	1. Developed region: G7	1. High income: OECD	-99		FR	FRA	250	250	FR	FRA	-99	FRA	FRA	-99	-99	Europe	Europe	Western Europe	Europe & Central Asia	6	6	3	-99	1	2,86141E+12	2,68383E+12	2,81108E+12	2,85217E+12	2,44E+12	2,47E+12	2,59E+12	2,78E+12
3	Admin-0 country	6	Denmark	DN1	1	2	Dependency	Faroe Islands	FRO	0	Faroe Islands	FRO	0	Faroe Islands	FRO	0	Faeroe Is.	Faeroe Islands	FRO	Faeroe Islands		Faeroe Is.	FO	Føroyar Is. (Faeroe Is.)		Den.		Faeroe Islands		4	1	3	12	48856	1000	-99	2011	-99	2. Developed region: nonG7	2. High income: nonOECD	-99		FO	FRO	234	234	FO	FRO	-99	FRO	FRO	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	10	14	10	3	-99	2490807830	2366301251	2627049837	2850743875	2518096285	2689157270	2719157271	2759157271
3	Admin-0 country	6	Federated States of Micronesia	FSM	0	2	Sovereign country	Federated States of Micronesia	FSM	0	Federated States of Micronesia	FSM	0	Federated States of Micronesia	FSM	0	Micronesia	Federated States of Micronesia	FSM	Micronesia		F.S.M.	FSM	Federated States of Micronesia				Micronesia, Federated States of		5	2	4	13	107434	238.1	-99	2000	-99	6. Developing region	4. Lower middle income	-99		FM	FSM	583	583	FM	FSM	-99	FSM	FSM	-99	-99	Oceania	Oceania	Micronesia	East Asia & Pacific	10	30	6	-99	1	311301557	327248654	317214350	319271156	316489947	332265162	366666808	401932279
1	Admin-0 country	4	Gabon	GAB	0	2	Sovereign country	Gabon	GAB	0	Gabon	GAB	0	Gabon	GAB	0	Gabon	Gabon	GAB	Gabon		Gabon	GA	Gabonese Republic				Gabon		6	2	5	5	1514993	21110	-99	2003	-99	6. Developing region	3. Upper middle income	-99		GA	GAB	266	266	GA	GAB	-99	GAB	GAB	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	5	5	5	3	1	18186478119	17171447372	17590745162	18179752009	14377324797	14014369641	14892609693	16853589311
1	Admin-0 country	2	United Kingdom	GB1	1	2	Country	United Kingdom	GBR	0	United Kingdom	GBR	0	United Kingdom	GBR	0	United Kingdom	United Kingdom	GBR	United Kingdom		U.K.	GB	United Kingdom of Great Britain and Northern Ireland				United Kingdom		6	6	6	3	62262000	1977704	0	2011	2009	1. Developed region: G7	1. High income: OECD	-99		GB	GBR	826	826	GB	GBR	-99	GBR	GBR	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	14	14	4	-99	1	2,65931E+12	2,70489E+12	2,78602E+12	3,0638E+12	2,93E+12	2,69E+12	2,67E+12	2,86E+12
1	Admin-0 country	5	Georgia	GEO	0	2	Sovereign country	Georgia	GEO	0	Georgia	GEO	0	Georgia	GEO	0	Georgia	Georgia	GEO	Georgia		Geo.	GE	Georgia				Georgia		5	1	3	2	4615807	21510	-99	2002	-99	6. Developing region	4. Lower middle income	-99		GE	GEO	268	268	GE	GEO	-99	GEO	GEO	-99	-99	Asia	Asia	Western Asia	Europe & Central Asia	7	7	4	-99	1	15107441446	16488403076	17189491403	17627060089	14953950557	15141758566	16242956764	17599660629
4	Admin-0 country	6	United Kingdom	GB1	1	2	Country	Guernsey	GGY	0	Guernsey	GGY	0	Guernsey	GGY	0	Guernsey	Guernsey	GGY	Guernsey	Channel Islands	Guern.	GG	Bailiwick of Guernsey		U.K. crown dependency		Guernsey		6	6	6	3	68633	2742	-99	2001	-99	2. Developed region: nonG7	2. High income: nonOECD	-99		GG	GGY	831	831	JG	CHI	-99	GGY	GGY	-99	-99	Europe	Europe	Northern Europe	Europe & Central Asia	8	8	6	-99	-99	0	0	0	0	0	0	0	0
1	Admin-0 country	3	Ghana	GHA	0	2	Sovereign country	Ghana	GHA	0	Ghana	GHA	0	Ghana	GHA	0	Ghana	Ghana	GHA	Ghana		Ghana	GH	Republic of Ghana				Ghana		5	3	1	4	23832495	34200	-99	2010	-99	6. Developing region	4. Lower middle income	-99		GH	GHA	288	288	GH	GHA	-99	GHA	GHA	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	5	5	5	-99	1	39566292432	41939728978	63277216928	53601126663	49181854798	55009730600	58996776237	65556464048
1	Admin-0 country	3	Guinea	GIN	0	2	Sovereign country	Guinea	GIN	0	Guinea	GIN	0	Guinea	GIN	0	Guinea	Guinea	GIN	Guinea		Gin.	GN	Republic of Guinea				Guinea		6	3	7	2	10057975	10600	-99	1996	-99	7. Least developed region	5. Low income	-99		GN	GIN	324	324	GN	GIN	-99	GIN	GIN	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	6	6	4	-99	1	6785137172	7638045254	8376613843	8778473614	8794202443	8603833218	10324668266	10907214993
1	Admin-0 country	6	Gambia	GMB	0	2	Sovereign country	Gambia	GMB	0	Gambia	GMB	0	Gambia	GMB	0	Gambia	The Gambia	GMB	Gambia		Gambia	GM	Republic of the Gambia				Gambia, The		1	4	1	8	1782893	2272	-99	2003	-99	7. Least developed region	5. Low income	-99		GM	GMB	270	270	GM	GMB	-99	GMB	GMB	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	6	10	6	-99	1	1409694553	1415006238	1375608956	1229460601	1378176868	1467255923	1504954957	1632823198
1	Admin-0 country	6	Guinea Bissau	GNB	0	2	Sovereign country	Guinea Bissau	GNB	0	Guinea Bissau	GNB	0	Guinea Bissau	GNB	0	Guinea-Bissau	Guinea-Bissau	GNB	Guinea-Bissau		GnB.	GW	Republic of Guinea-Bissau				Guinea-Bissau		3	5	3	4	1533964	904.2	-99	2009	-99	7. Least developed region	5. Low income	-99		GW	GNB	624	624	GW	GNB	-99	GNB	GNB	-99	-99	Africa	Africa	Western Africa	Sub-Saharan Africa	13	13	4	-99	1	1098379391	989327811	1045790132	1053512334	1047808175	1178204501	1346841897	1458156026
1	Admin-0 country	4	Equatorial Guinea	GNQ	0	2	Sovereign country	Equatorial Guinea	GNQ	0	Equatorial Guinea	GNQ	0	Equatorial Guinea	GNQ	0	Eq. Guinea	Equatorial Guinea	GNQ	Eq. Guinea		Eq. G.	GQ	Republic of Equatorial Guinea				Equatorial Guinea		4	1	4	8	650702	14060	0	2002	0	7. Least developed region	2. High income: nonOECD	-99		GQ	GNQ	226	226	GQ	GNQ	-99	GNQ	GNQ	-99	-99	Africa	Africa	Middle Africa	Sub-Saharan Africa	10	17	6	-99	1	21357344847	22388345810	21948835350	21765454404	13185496836	11240809132	12200914929	13278488567
1	Admin-0 country	3	Greece	GRC	0	2	Sovereign country	Greece	GRC	0	Greece	GRC	0	Greece	GRC	0	Greece	Greece	GRC	Greece		Greece	GR	Hellenic Republic				Greece		2	2	2	9	10737428	343000	-99	2011	-99	2. Developed region: nonG7	1. High income: OECD	-99		GR	GRC	300	300	GR	GRC	-99	GRC	GRC	-99	-99	Europe	Europe	Southern Europe	Europe & Central Asia	6	6	6	-99	1	2,87798E+11	2,45671E+11	2,39862E+11	2,3703E+11	1,97E+11	1,95E+11	2,03E+11	2,18E+11
1	Admin-0 country	6	Grenada	GRD	0	2	Sovereign country	Grenada	GRD	0	Grenada	GRD	0	Grenada	GRD	0	Grenada	Grenada	GRD	Grenada		Gren.	GD	Grenada				Grenada		2	4	3	6	90739	1161	-99	2011	-99	6. Developing region	3. Upper middle income	-99		GD	GRD	308	308	GD	GRD	-99	GRD	GRD	-99	-99	North America	Americas	Caribbean	Latin America & Caribbean	7	7	5	-99	1	778655925	799882259	842620111	911497407	997007925	1061631222	1126882296	1185925925
1	Admin-0 country	3	Denmark	DN1	1	2	Country	Greenland	GRL	0	Greenland	GRL	0	Greenland	GRL	0	Greenland	Greenland	GRL	Greenland		Grlnd.	GL	Greenland		Den.		Greenland		4	1	3	12	57600	1100	-99	2010	-99	2. Developed region: nonG7	2. High income: nonOECD	-99		GL	GRL	304	304	GL	GRL	-99	GRL	GRL	-99	-99	North America	Americas	Northern America	Europe & Central Asia	9	9	6	-99	-99	2684467375	2609667673	2684952726	2842048997	2499115623	2707146783	2737146783	2787146783
1	Admin-0 country	3	Guatemala	GTM	0	2	Sovereign country	Guatemala	GTM	0	Guatemala	GTM	0	Guatemala	GTM	0	Guatemala	Guatemala	GTM	Guatemala		Guat.	GT	Republic of Guatemala				Guatemala		3	3	3	6	13276517	68580	-99	2002	-99	6. Developing region	4. Lower middle income	-99		GT	GTM	320	320	GT	GTM	-99	GTM	GTM	-99	-99	North America	Americas	Central America	Latin America & Caribbean	9	9	5	4	1	47654783851	50388460924	53851153446	58722323918	63767597193	68663649521	75620081928	78460447919
3	Admin-0 country	6	United States of America	US1	1	2	Dependency	Guam	GUM	0	Guam	GUM	0	Guam	GUM	0	Guam	Guam	GUM	Guam		Guam	GU	Territory of Guam		U.S.A.		Guam		4	5	1	1	178430	2500	-99	2010	-99	6. Developing region	2. High income: nonOECD	-99		GU	GUM	316	316	GU	GUM	-99	GUM	GUM	-99	-99	Oceania	Oceania	Micronesia	East Asia & Pacific	4	4	4	2	-99	4928000000	5199000000	5336000000	5538000000	5710000000	5795000000	5851000000	5920000000
1	Admin-0 country	4	Guyana	GUY	0	2	Sovereign country	Guyana	GUY	0	Guyana	GUY	0	Guyana	GUY	0	Guyana	Guyana	GUY	Guyana		Guy.	GY	Co-operative Republic of Guyana				Guyana		3	1	4	8	772298	2966	-99	2002	-99	6. Developing region	4. Lower middle income	-99		GY	GUY	328	328	GY	GUY	-99	GUY	GUY	-99	-99	South America	Americas	South America	Latin America & Caribbean	6	6	4	-99	1	2576024115	2861562265	2987684170	3077643313	3197220338	3504024213	3555205811	3878662620
3	Admin-0 country	4	China	CH1	1	2	Country	Hong Kong S.A.R.	HKG	0	Hong Kong S.A.R.	HKG	0	Hong Kong S.A.R.	HKG	0	Hong Kong	Hong Kong	HKG	Hong Kong		H.K.	HK	Hong Kong Special Administrative Region, PRC		China		Hong Kong SAR, China		4	4	4	3	7061200	351119	2010	2006	2011	6. Developing region	2. High income: nonOECD	0		HK	HKG	344	344	HK	HKG	-99	HKG	HKG	-99	-99	Asia	Asia	Eastern Asia	East Asia & Pacific	9	9	4	-99	-99	2,48514E+11	2,62629E+11	2,75697E+11	2,91459E+11	3,09E+11	3,21E+11	3,42E+11	3,63E+11
